,id_ap,ap_isu_id,title_ap,year,qualification,id_direction,title_direction,number_direction,structural_unit,on_check,laboriousness,loading_datetime
0,6796,10572,Нанофотоника и квантовая оптика,2018,bachelor,15772,Техническая физика,16.03.01,,in_work,393,2023-10-05 16:27:58.894346
1,6797,10571,Информационные технологии в энергетике,2018,bachelor,15766,Ядерная энергетика и теплофизика,14.03.01,,in_work,311,2023-10-05 16:28:04.336265
2,6798,14637,Молекулярная биология и биотехнология / Molecular Biology and Biotechnology,2021,master,15783,Биотехнология,19.04.01,,in_work,227,2023-10-05 16:28:06.487738
3,6799,10574,Низкотемпературная техника и энергетика,2018,bachelor,15773,"Холодильная, криогенная техника и системы жизнеобеспечения",16.03.03,,in_work,352,2023-10-05 16:28:11.760849
4,6800,10575,Экологический инжиниринг,2018,bachelor,15777,"Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",18.03.02,,in_work,296,2023-10-05 16:28:17.371317
5,6801,10577,Пищевая биотехнология,2018,bachelor,15780,Биотехнология,19.03.01,,in_work,311,2023-10-05 16:28:22.873471
6,6802,9863,"Технологии напитков, хлеба и кондитерских изделий",2018,bachelor,15781,Продукты питания из растительного сырья,19.03.02,,in_work,311,2023-10-05 16:28:28.666156
7,6803,9868,Молекулярное питание и пищевые технологии,2018,bachelor,15782,Продукты питания животного происхождения,19.03.03,,in_work,311,2023-10-05 16:28:35.324599
8,6804,10565,Прикладная и компьютерная оптика,2018,bachelor,15753,Оптотехника,12.03.02,,in_work,311,2023-10-05 16:28:40.597311
9,6805,10573,Световая инженерия,2018,bachelor,15772,Техническая физика,16.03.01,,in_work,311,2023-10-05 16:28:45.851734
10,6806,10566,Физика наноструктур,2018,bachelor,15754,Фотоника и оптоинформатика,12.03.03,,in_work,311,2023-10-05 16:28:52.317551
11,6807,9874,Квантовые технологии в коммуникациях,2018,bachelor,15754,Фотоника и оптоинформатика,12.03.03,,in_work,311,2023-10-05 16:28:58.264393
12,6808,10568,Лазерные технологии,2018,bachelor,15756,Лазерная техника и лазерные технологии,12.03.05,,in_work,311,2023-10-05 16:29:03.659088
13,6809,10569,Лазеры для информационно-коммуникационных систем,2018,bachelor,15756,Лазерная техника и лазерные технологии,12.03.05,,in_work,311,2023-10-05 16:29:09.288691
14,6810,13378,Научная коммуникация,2020,master,15798,Инноватика,27.04.05,,in_work,135,2023-10-05 16:29:12.862432
15,6811,13365,Цифровые системы управления,2020,master,15796,Системный анализ и управление,27.04.03,,in_work,240,2023-10-05 16:29:17.860694
16,6812,10579,Управление технологическими инновациями,2018,bachelor,15793,Инноватика,27.03.05,,in_work,311,2023-10-05 16:29:23.271596
17,6813,10559,Компьютерные технологии в дизайне,2018,bachelor,15741,Программная инженерия,09.03.04,,in_work,341,2023-10-05 16:29:26.742979
18,6814,9871,Экономика высокотехнологичной компании,2018,bachelor,15801,Экономика,38.03.01,,in_work,311,2023-10-05 16:29:31.956181
19,6815,10560,Нейротехнологии и программирование,2018,bachelor,15741,Программная инженерия,09.03.04,,in_work,311,2023-10-05 16:29:37.424287
20,6816,10561,Технологии защиты информации,2018,bachelor,,,,,in_work,311,2023-10-05 16:29:42.965696
21,6817,10580,Компьютерная графика и дизайн,2018,bachelor,15805,Профессиональное обучение,44.03.04,,in_work,335,2023-10-05 16:29:45.924950
22,6818,10555,Информатика и программирование,2018,bachelor,15734,Прикладная математика и информатика,01.03.02,,in_work,352,2023-10-05 16:29:50.781374
23,6819,9869,Технологии транспортирования углеводородных энергоносителей,2018,bachelor,,,,,in_work,311,2023-10-05 16:29:56.001184
24,6820,10576,Биоинженерия,2018,bachelor,15780,Биотехнология,19.03.01,,in_work,311,2023-10-05 16:30:01.818752
25,7503,,Прикладной искусственный интеллект,2023,bachelor,15739,Информационные системы и технологии,09.03.02,,in_work,0,2023-10-05 16:30:02.569142
26,6822,13397,Биоинженерия,2020,bachelor,15755,Биотехнические системы и технологии,12.03.04,,in_work,580,2023-10-05 16:30:11.203263
27,6823,13276,Биоинженерия,2020,bachelor,15777,"Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",18.03.02,,in_work,560,2023-10-05 16:30:18.483677
28,6826,11713,Техническая физика,2019,bachelor,15772,Техническая физика,16.03.01,,in_work,427,2023-10-05 16:30:24.298827
29,6827,11721,Биоинженерия,2019,bachelor,15777,"Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",18.03.02,,in_work,424,2023-10-05 16:30:29.343910
30,6828,11715,Оптико-электронные информационно-измерительные приборы и системы,2019,specialist,15762,Электронные и оптико-электронные приборы и системы специального назначения,12.05.01,,in_work,1083,2023-10-05 16:30:41.230612
31,6829,13312,Цифровые технологии умного города,2020,master,15744,Прикладная информатика,09.04.03,,in_work,160,2023-10-05 16:30:44.877836
32,6830,10564,Цифровые технологии в приборостроении,2018,bachelor,15752,Приборостроение,12.03.01,,in_work,306,2023-10-05 16:30:50.071823
33,6831,10570,Цифровой электропривод робототехнических комплексов,2018,bachelor,15764,Электроэнергетика и электротехника,13.03.02,,in_work,311,2023-10-05 16:30:55.189706
34,6832,10556,Вычислительные системы и сети,2018,bachelor,15738,Информатика и вычислительная техника,09.03.01,,in_work,333,2023-10-05 16:30:58.396679
35,6833,9859,Цифровое производство,2018,bachelor,15767,Автоматизация технологических процессов и производств,15.03.04,,in_work,311,2023-10-05 16:31:03.747163
36,6834,10425,Интеллектуальная робототехника,2018,bachelor,15768,Мехатроника и робототехника,15.03.06,,in_work,311,2023-10-05 16:31:08.889810
37,6835,10558,Системное и прикладное программное обеспечение,2018,bachelor,15741,Программная инженерия,09.03.04,,in_work,360,2023-10-05 16:31:12.539631
38,6836,10563,Конструирование и технология электронных средств,2018,bachelor,15749,Конструирование и технология электронных средств,11.03.03,,in_work,311,2023-10-05 16:31:17.671879
39,6837,10426,Управление в технических системах,2018,bachelor,15792,Управление в технических системах,27.03.04,,in_work,293,2023-10-05 16:31:22.715599
40,6838,10578,Управление движением и навигация,2018,bachelor,15789,Системы управления движением и навигация,24.03.02,,in_work,311,2023-10-05 16:31:27.480323
41,6839,9837,Мобильные и сетевые технологии,2018,bachelor,15740,Прикладная информатика,09.03.03,,in_work,311,2023-10-05 16:31:32.509333
42,6840,10562,Инфокоммуникационные системы,2018,bachelor,15748,Инфокоммуникационные технологии и системы связи,11.03.02,,in_work,393,2023-10-05 16:31:38.288574
43,6841,9872,Иностранные языки и информационные технологии / Humanities and IT,2018,bachelor,15806,Интеллектуальные системы в гуманитарной сфере,45.03.04,,in_work,311,2023-10-05 16:31:43.303882
44,6842,10557,Программирование и интернет-технологии,2018,bachelor,15739,Информационные системы и технологии,09.03.02,,in_work,311,2023-10-05 16:31:48.209406
45,6843,10581,Интеллектуальные системы в гуманитарной сфере,2018,bachelor,15806,Интеллектуальные системы в гуманитарной сфере,45.03.04,,in_work,311,2023-10-05 16:31:53.445336
46,6845,13260,Управление технологическими инновациями,2020,bachelor,15793,Инноватика,27.03.05,,in_work,525,2023-10-05 16:32:00.691240
47,6846,13268,Бизнес-информатика,2020,bachelor,15802,Бизнес-информатика,38.03.05,,in_work,537,2023-10-05 16:32:07.842520
48,6847,11726,Бизнес-информатика,2019,bachelor,15802,Бизнес-информатика,38.03.05,,in_work,376,2023-10-05 16:32:12.972329
49,6849,13398,Прикладная и теоретическая физика,2020,bachelor,15772,Техническая физика,16.03.01,,in_work,574,2023-10-05 16:32:19.915251
50,6852,11707,Фотоника и оптоинформатика,2019,bachelor,15754,Фотоника и оптоинформатика,12.03.03,,in_work,401,2023-10-05 16:32:25.914614
51,6853,13360,Стандартизация и метрология в высокотехнологичном секторе экономики,2020,master,15794,Стандартизация и метрология,27.04.01,,in_work,135,2023-10-05 16:32:29.565592
52,6854,11729,Биотехнология,2019,bachelor,15780,Биотехнология,19.03.01,,in_work,460,2023-10-05 16:32:35.290937
53,6855,11678,Мобильные и сетевые технологии,2019,bachelor,15740,Прикладная информатика,09.03.03,,in_work,397,2023-10-05 16:32:40.404932
54,6856,11760,Компьютерные технологии в дизайне,2019,bachelor,15741,Программная инженерия,09.03.04,,in_work,451,2023-10-05 16:32:45.796349
55,6857,11687,Нейротехнологии и программирование,2019,bachelor,15741,Программная инженерия,09.03.04,,in_work,336,2023-10-05 16:32:50.450015
56,6858,11685,Системное и прикладное программное обеспечение,2019,bachelor,15741,Программная инженерия,09.03.04,,in_work,391,2023-10-05 16:32:55.726450
57,6860,11701,Цифровые системы управления,2019,bachelor,15789,Системы управления движением и навигация,24.03.02,,in_work,410,2023-10-05 16:33:01.225710
58,6861,11702,Цифровые системы управления,2019,bachelor,15792,Управление в технических системах,27.03.04,,in_work,435,2023-10-05 16:33:06.982086
59,6862,11723,Управление технологическими инновациями,2019,bachelor,15793,Инноватика,27.03.05,,in_work,378,2023-10-05 16:33:12.481128
60,6863,11696,Цифровое производство,2019,bachelor,15767,Автоматизация технологических процессов и производств,15.03.04,,in_work,318,2023-10-05 16:33:17.864737
61,6864,11692,Технологии защиты информации,2019,bachelor,15749,Конструирование и технология электронных средств,11.03.03,,in_work,380,2023-10-05 16:33:23.041738
62,6865,11693,Технологии защиты информации,2019,bachelor,15815,Эксплуатация транспортно-технологических машин и комплексов,23.03.03,,in_work,378,2023-10-05 16:33:28.157816
63,6866,11676,Информатика и программирование,2019,bachelor,15734,Прикладная математика и информатика,01.03.02,,in_work,367,2023-10-05 16:33:31.679887
64,6867,11699,Цифровые системы управления,2019,bachelor,15764,Электроэнергетика и электротехника,13.03.02,,in_work,403,2023-10-05 16:33:36.917763
65,6868,13343,Промышленные холодильные системы и тепловые насосы,2020,master,15775,"Холодильная, криогенная техника и системы жизнеобеспечения",16.04.03,,in_work,135,2023-10-05 16:33:40.476128
66,6869,11698,Робототехника,2019,bachelor,15768,Мехатроника и робототехника,15.03.06,,in_work,446,2023-10-05 16:33:45.875412
67,6870,11792,Иностранные языки и информационные технологии / Humanities and IT,2019,bachelor,15806,Интеллектуальные системы в гуманитарной сфере,45.03.04,,in_work,330,2023-10-05 16:33:50.418813
68,6871,11717,Информационные технологии в энергетике,2019,bachelor,15766,Ядерная энергетика и теплофизика,14.03.01,,in_work,783,2023-10-05 16:34:02.312403
69,6872,14526,Иностранные языки и информационные технологии / Humanities and IT,2021,bachelor,15806,Интеллектуальные системы в гуманитарной сфере,45.03.04,,in_work,474,2023-10-05 16:34:08.022624
70,6873,11683,Компьютерные системы и технологии,2019,bachelor,15738,Информатика и вычислительная техника,09.03.01,,in_work,330,2023-10-05 16:34:12.632889
71,6874,14579,Робототехника и искусственный интеллект / Robotics and artificial intelligence,2021,master,15771,Мехатроника и робототехника,15.04.06,,in_work,237,2023-10-05 16:34:14.858956
72,6875,11677,Программирование и интернет-технологии,2019,bachelor,15739,Информационные системы и технологии,09.03.02,,in_work,372,2023-10-05 16:34:18.937769
73,6876,14581,Квантовые технологии в индустрии,2021,master,15759,Фотоника и оптоинформатика,12.04.03,,in_work,124,2023-10-05 16:34:20.444432
74,6877,11679,Интеллектуальные системы в гуманитарной сфере,2019,bachelor,15806,Интеллектуальные системы в гуманитарной сфере,45.03.04,,in_work,362,2023-10-05 16:34:25.527002
75,6878,11680,Программирование в инфокоммуникационных системах,2019,bachelor,15748,Инфокоммуникационные технологии и системы связи,11.03.02,,in_work,353,2023-10-05 16:34:30.139382
76,6879,13362,Управление качеством,2020,master,15795,Управление качеством,27.04.02,,in_work,180,2023-10-05 16:34:34.011569
77,6880,14531,Программирование в инфокоммуникационных системах,2021,bachelor,15748,Инфокоммуникационные технологии и системы связи,11.03.02,,in_work,551,2023-10-05 16:34:41.370179
78,6881,11689,Компьютерные технологии в дизайне,2019,bachelor,15805,Профессиональное обучение,44.03.04,,in_work,447,2023-10-05 16:34:46.683299
79,6882,11695,Цифровое производство,2019,bachelor,15752,Приборостроение,12.03.01,,in_work,318,2023-10-05 16:34:51.111742
80,6883,11690,Технологии защиты информации,2019,bachelor,15814,Информационная безопасность,10.03.01,,in_work,422,2023-10-05 16:34:56.934817
81,6884,14597,Цифровые геотехнологии,2021,master,15809,Информационные системы и технологии,09.04.02,,in_work,152,2023-10-05 16:34:58.631787
82,6885,14677,Информационные системы бизнеса / Business information systems,2021,master,15744,Прикладная информатика,09.04.03,,in_work,191,2023-10-05 16:35:00.415951
83,6886,14603,Мобильные и облачные технологии,2021,master,15744,Прикладная информатика,09.04.03,,in_work,188,2023-10-05 16:35:02.145917
84,6887,14600,Технологии разработки компьютерных игр,2021,master,15744,Прикладная информатика,09.04.03,,in_work,154,2023-10-05 16:35:04.031704
85,6888,14557,Электроинженерия,2021,master,15765,Электроэнергетика и электротехника,13.04.02,,in_work,178,2023-10-05 16:35:06.060900
86,6889,14604,Инфокоммуникации и цифровые медиа / Infocommunications and digital media,2021,master,15750,Инфокоммуникационные технологии и системы связи,11.04.02,,in_work,319,2023-10-05 16:35:08.949454
87,6890,14598,Финансовые технологии больших данных,2021,master,15750,Инфокоммуникационные технологии и системы связи,11.04.02,,in_work,175,2023-10-05 16:35:11.009633
88,6891,13352,Биоинженерия и биотехнические системы,2020,master,15760,Биотехнические системы и технологии,12.04.04,,in_work,192,2023-10-05 16:35:15.224405
89,6892,13278,Биотехнология,2020,bachelor,15780,Биотехнология,19.03.01,,in_work,696,2023-10-05 16:35:23.198872
90,6893,14524,Биотехнология,2021,bachelor,15780,Биотехнология,19.03.01,,in_work,693,2023-10-05 16:35:31.511212
91,6894,14543,Технологии защиты информации,2021,bachelor,15749,Конструирование и технология электронных средств,11.03.03,,in_work,533,2023-10-05 16:35:38.907383
92,6895,14545,Технологии защиты информации,2021,bachelor,15815,Эксплуатация транспортно-технологических машин и комплексов,23.03.03,,in_work,496,2023-10-05 16:35:45.406441
93,6898,14599,Программирование и интернет-технологии,2021,master,15809,Информационные системы и технологии,09.04.02,,in_work,178,2023-10-05 16:35:47.283855
94,6899,14538,Индустриальные киберфизические системы,2021,bachelor,15767,Автоматизация технологических процессов и производств,15.03.04,,in_work,490,2023-10-05 16:35:54.106461
95,6900,14522,Прикладная и теоретическая физика,2021,bachelor,15772,Техническая физика,16.03.01,,in_work,640,2023-10-05 16:36:01.906986
96,6901,14519,Цифровые системы управления,2021,bachelor,15764,Электроэнергетика и электротехника,13.03.02,,in_work,587,2023-10-05 16:36:09.293904
