,id_ap,ap_isu_id,title_ap,year,qualification,id_direction,title_direction,number_direction,structural_unit,su_short_name,on_check,laboriousness,loading_datetime
0,6796,10572,Нанофотоника и квантовая оптика,2018,bachelor,15772,Техническая физика,16.03.01,,,in_work,393,2023-10-21 08:41:49.637593
0,6797,10571,Информационные технологии в энергетике,2018,bachelor,15766,Ядерная энергетика и теплофизика,14.03.01,,,in_work,311,2023-10-21 08:41:54.346247
0,6798,14637,Молекулярная биология и биотехнология / Molecular Biology and Biotechnology,2021,master,15783,Биотехнология,19.04.01,,,in_work,227,2023-10-21 08:41:56.068113
0,6799,10574,Низкотемпературная техника и энергетика,2018,bachelor,15773,"Холодильная, криогенная техника и системы жизнеобеспечения",16.03.03,,,in_work,352,2023-10-21 08:42:00.917186
0,6800,10575,Экологический инжиниринг,2018,bachelor,15777,"Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",18.03.02,,,in_work,296,2023-10-21 08:42:05.633962
0,6801,10577,Пищевая биотехнология,2018,bachelor,15780,Биотехнология,19.03.01,,,in_work,311,2023-10-21 08:42:10.504199
0,6802,9863,"Технологии напитков, хлеба и кондитерских изделий",2018,bachelor,15781,Продукты питания из растительного сырья,19.03.02,,,in_work,311,2023-10-21 08:42:15.155909
0,6803,9868,Молекулярное питание и пищевые технологии,2018,bachelor,15782,Продукты питания животного происхождения,19.03.03,,,in_work,311,2023-10-21 08:42:21.188607
0,6804,10565,Прикладная и компьютерная оптика,2018,bachelor,15753,Оптотехника,12.03.02,,,in_work,311,2023-10-21 08:42:26.559520
0,6805,10573,Световая инженерия,2018,bachelor,15772,Техническая физика,16.03.01,,,in_work,311,2023-10-21 08:42:31.510204
0,6806,10566,Физика наноструктур,2018,bachelor,15754,Фотоника и оптоинформатика,12.03.03,,,in_work,311,2023-10-21 08:42:37.531506
0,6807,9874,Квантовые технологии в коммуникациях,2018,bachelor,15754,Фотоника и оптоинформатика,12.03.03,,,in_work,311,2023-10-21 08:42:42.532795
0,6808,10568,Лазерные технологии,2018,bachelor,15756,Лазерная техника и лазерные технологии,12.03.05,,,in_work,311,2023-10-21 08:42:47.464122
0,6809,10569,Лазеры для информационно-коммуникационных систем,2018,bachelor,15756,Лазерная техника и лазерные технологии,12.03.05,,,in_work,311,2023-10-21 08:42:52.418647
0,6810,13378,Научная коммуникация,2020,master,15798,Инноватика,27.04.05,,,in_work,135,2023-10-21 08:42:55.710490
0,6811,13365,Цифровые системы управления,2020,master,15796,Системный анализ и управление,27.04.03,,,in_work,240,2023-10-21 08:42:59.821835
0,6812,10579,Управление технологическими инновациями,2018,bachelor,15793,Инноватика,27.03.05,,,in_work,311,2023-10-21 08:43:04.546456
0,6813,10559,Компьютерные технологии в дизайне,2018,bachelor,15741,Программная инженерия,09.03.04,,,in_work,341,2023-10-21 08:43:07.580683
0,6814,9871,Экономика высокотехнологичной компании,2018,bachelor,15801,Экономика,38.03.01,,,in_work,311,2023-10-21 08:43:12.363539
0,6815,10560,Нейротехнологии и программирование,2018,bachelor,15741,Программная инженерия,09.03.04,,,in_work,311,2023-10-21 08:43:17.004234
0,6816,10561,Технологии защиты информации,2018,bachelor,,,,,,in_work,311,2023-10-21 08:43:22.117256
0,6817,10580,Компьютерная графика и дизайн,2018,bachelor,15805,Профессиональное обучение,44.03.04,,,in_work,335,2023-10-21 08:43:24.933043
0,6818,10555,Информатика и программирование,2018,bachelor,15734,Прикладная математика и информатика,01.03.02,,,in_work,352,2023-10-21 08:43:29.718228
0,6819,9869,Технологии транспортирования углеводородных энергоносителей,2018,bachelor,,,,,,in_work,311,2023-10-21 08:43:34.573908
0,6820,10576,Биоинженерия,2018,bachelor,15780,Биотехнология,19.03.01,,,in_work,311,2023-10-21 08:43:39.236895
0,7503,,Прикладной искусственный интеллект,2023,bachelor,15739,Информационные системы и технологии,09.03.02,,,in_work,0,2023-10-21 08:43:39.818193
0,6822,13397,Биоинженерия,2020,bachelor,15755,Биотехнические системы и технологии,12.03.04,,,in_work,580,2023-10-21 08:43:47.342537
0,6823,13276,Биоинженерия,2020,bachelor,15777,"Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",18.03.02,,,in_work,560,2023-10-21 08:43:53.893306
0,7505,,План Б,2023,bachelor,,,,,,in_work,6,2023-10-21 08:43:54.540624
0,6826,11713,Техническая физика,2019,bachelor,15772,Техническая физика,16.03.01,,,in_work,427,2023-10-21 08:43:59.795010
0,6827,11721,Биоинженерия,2019,bachelor,15777,"Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",18.03.02,,,in_work,424,2023-10-21 08:44:04.803044
0,6828,11715,Оптико-электронные информационно-измерительные приборы и системы,2019,specialist,15762,Электронные и оптико-электронные приборы и системы специального назначения,12.05.01,,,in_work,1083,2023-10-21 08:44:15.496568
0,6829,13312,Цифровые технологии умного города,2020,master,15744,Прикладная информатика,09.04.03,,,in_work,160,2023-10-21 08:44:18.841041
0,6830,10564,Цифровые технологии в приборостроении,2018,bachelor,15752,Приборостроение,12.03.01,,,in_work,306,2023-10-21 08:44:23.451473
0,6831,10570,Цифровой электропривод робототехнических комплексов,2018,bachelor,15764,Электроэнергетика и электротехника,13.03.02,,,in_work,311,2023-10-21 08:44:28.207843
0,6832,10556,Вычислительные системы и сети,2018,bachelor,15738,Информатика и вычислительная техника,09.03.01,,,in_work,333,2023-10-21 08:44:31.135230
0,6833,9859,Цифровое производство,2018,bachelor,15767,Автоматизация технологических процессов и производств,15.03.04,,,in_work,311,2023-10-21 08:44:35.930337
