,work_program_id,description_text
0,32770,"Дисциплина рассматривает дифракционную теорию формирования изображения в оптических системах и влияние различных факторов на качество изображения, а также формирование изображения в оптической системе как преобразование сигнала."
1,32772,"В курсе рассматриваются основные типы оптических систем, их принципиальные схемы и основные характеристики. 
Обсуждаются особенности схем оптических систем с учетом спектрального интервала работы и выбора оптической схемы с учетом необходимого масштаба изображения, глубины резкости, разрешающей способности и других требований. 
Практическая часть курса посвящена расчету, анализу и моделированию оптических систем разного типа в специализированном программном обеспечении."
2,32779,"Курс общей физики предназначен для бакалавров, специализирующихся в области IT широкого профиля. Цель курса - научить студентов использовать знания фундаментальных законов природы и основных законов физики для решения практических инженерных задач, анализировать результаты экспериментальных данных в рамках современных физических моделей. В процессе освоения курса студенты получают опыт использован"
3,16398,"В данном курсе будет представлен целостный взгляд на систему математического знания: с одной стороны, будут рассмотрены основные понятия математики (например, логическая система, доказательство, дискретность и непрерывность, стохастичность и детерминированность), а с другой стороны, показаны связи между различными направлениями математики. В целом, курс поможет студентам выработать свое отношение к математике и составить индивидуальный план развития в области математики с учетом своего профиля подготовки.

Курс ориентирован на студентов 3-4 курса бакалавриата и 1 курса магистратуры.

В результате изучения курса студенты узнают, что такое математическое мышление и основания математики, как устроено математическое знание, выработают собственное отношение к математике, составят индивидуальные план развития, применят математическое мышление для решения теоретических и прикладных задач."
7,32784,"Курс направлен на овладение основных фундаментальных понятий, выработку навыков решения практических задач, как теоретических, так и экспериментальных по разделам классической физики: механика, колебания и волны с элементами теории динамических систем; молекулярная физика и начала статистической физики, электромагнетизм; оптические явления, а также основы атомной и ядерной физики. Включает в себя лекционные, практические, лабораторные занятия, а также вычислительный практикум в рамках практических занятий."
8,32785,"Курс направлен на овладение основных фундаментальных понятий, выработку навыков решения практических задач, как теоретических, так и экспериментальных по разделам классической физики: механика, колебания и волны с элементами теории динамических систем; молекулярная физика и начала статистической физики, электромагнетизм; оптические явления, а также основы атомной и ядерной физики. Включает в себя лекционные, практические, лабораторные занятия, а также вычислительный практикум в рамках практических занятий."
9,32788,"Курс общей физики предназначен для бакалавров, специализирующихся в области IT широкого профиля. Цель курса - научить студентов использовать знания фундаментальных законов природы и основных законов физики для решения практических инженерных задач, анализировать результаты экспериментальных данных в рамках современных физических моделей. В процессе освоения курса студенты получают опыт использования методов математического моделирования для исследования физических процессов, учатся обрабатывать экспериментальные данные численными методами программирования. Курс позволяет подготовить студентов к освоению специальных дисциплин в области радиосвязи, строительства и проектирования основных видов беспроводных систем связи, спутниковой, радиорелейной, профессиональной мобильной радиосвязи, сотовой связи"
10,32786,"Курс направлен на овладение основных фундаментальных понятий, выработку навыков решения практических задач, как теоретических, так и экспериментальных по разделам классической физики: механика, колебания и волны с элементами теории динамических систем; молекулярная физика и начала статистической физики, электромагнетизм; оптические явления, а также основы атомной и ядерной физики. Включает в себя лекционные, практические, лабораторные занятия, а также вычислительный практикум в рамках практических занятий."
11,8214,"Целью дисциплины является формирование у студентов систематизированных знаний в области организации системы управления отходами производства и потребления, включая деятельность по разработке ПНООЛР, изучению и внедрению новых подходов к обращению с отходами."
12,24427,"При создании программ важно уметь строго доказывать корректность их работы, оценивать скорость ещё на стадии проектирования, а также предотвращать ошибки в крайних случаях. Этот курс знакомит слушателей с некоторыми стандартными алгоритмами (сортировки, разделяй-и-властвуй, динамическое программирование) и структурами данных (кучи, хэш-таблицы), на которых можно тренироваться в реализации нетривиальной логики программы. Помимо знакомства, студенты учатся разрабатывать новые алгоритмы и доказывать их корректность. В качестве практики потребуется реализовать созданные алгоритмы в виде программы, решающей конкретную задачу, и сдать через автоматическую систему проверки."
13,32792,Расчет и выбор основных параметров приборов технического зрения. Компоновка приборов. Разработка узлов приборов. Краткий обзор возможностей систем автоматизированного проектирования и конструирования. Технологии проектирования оптических приборов для видеосистем. CAE/CAD системы.
15,32794,"Рассматривается цифровой видеопоток как источник информации. Аналого-цифровое преобразование видеопотоков. Рассматриваются основные методы и стандарты компрессии цифровых видеосигналов. Цифровой видеосигнал как изменяющийся во времени процесс. Рассматриваются основные задачи видеоанализа. Нейронные сети в видеоанализе. Использование сетей RNN, CNN+RNN, YOLO для задач видеоанализа."
16,32793,"Курс «Электричество и магнетизм» является разделом курса общей физики, в котором излагаются систематизированные знания об основных понятиях и законах электромагнетизма. В курсе рассматриваются фундаментальные законы электричества, магнетизма и электродинамики, взаимодействие электрических и магнитных полей с веществом."
17,32795,"Курс предназначен для обучающихся по специальности 19.03.01 «Биотехнология», содержит основные законы и понятия механики и молекулярной физики. Курс призван дать студентам базовые знания в области классической механики, молекулярной физики, электричества и магнетизма."
21,16416,В процессе обучения студенты изучают основы полупроводниковой схемотехники и электроники.
