work_program_id,description_text,references
32770,"дисциплина рассматривает дифракционную теорию формирования изображения в оптических системах и влияние различных факторов на качество изображения, а также формирование изображения в оптической системе как преобразование сигнала.",Дифракционная теория формирует изображение в оптических системах и влияет на качество сигнала.
32772,"в курсе рассматриваются основные типы оптических систем, их принципиальные схемы и основные характеристики. 
обсуждаются особенности схем оптических систем с учетом спектрального интервала работы и выбора оптической схемы с учетом необходимого масштаба изображения, глубины резкости, разрешающей способности и других требований. 
практическая часть курса посвящена расчету, анализу и моделированию оптических систем разного типа в специализированном программном обеспечении.",В курсе рассматриваются основные типы оптических систем и их основные характеристики.
16398,"в данном курсе будет представлен целостный взгляд на систему математического знания: с одной стороны, будут рассмотрены основные понятия математики (например, логическая система, доказательство, дискретность и непрерывность, стохастичность и детерминированность), а с другой стороны, показаны связи между различными направлениями математики. в целом, курс поможет студентам выработать свое отношение к математике и составить индивидуальный план развития в области математики с учетом своего профиля подготовки.

курс ориентирован на студентов 3-4 курса бакалавриата и 1 курса магистратуры.

в результате изучения курса студенты узнают, что такое математическое мышление и основания математики, как устроено математическое знание, выработают собственное отношение к математике, составят индивидуальные план развития, применят математическое мышление для решения теоретических и прикладных задач.",Курс ориентирован на студентов 3-4 курса бакалавриата и 1 курса магистратуры.
32784,"курс направлен на овладение основных фундаментальных понятий, выработку навыков решения практических задач, как теоретических, так и экспериментальных по разделам классической физики: механика, колебания и волны с элементами теории динамических систем; молекулярная физика и начала статистической физики, электромагнетизм; оптические явления, а также основы атомной и ядерной физики. включает в себя лекционные, практические, лабораторные занятия, а также вычислительный практикум в рамках практических занятий.","Курс включает в себя лекционные, практические, лабораторные занятия, а также вычислительный практикум в рамках практических занятий."
32785,"курс направлен на овладение основных фундаментальных понятий, выработку навыков решения практических задач, как теоретических, так и экспериментальных по разделам классической физики: механика, колебания и волны с элементами теории динамических систем; молекулярная физика и начала статистической физики, электромагнетизм; оптические явления, а также основы атомной и ядерной физики. включает в себя лекционные, практические, лабораторные занятия, а также вычислительный практикум в рамках практических занятий.","Курс включает в себя лекционные, практические, лабораторные занятия, а также вычислительный практикум в рамках практических занятий."
32786,"курс направлен на овладение основных фундаментальных понятий, выработку навыков решения практических задач, как теоретических, так и экспериментальных по разделам классической физики: механика, колебания и волны с элементами теории динамических систем; молекулярная физика и начала статистической физики, электромагнетизм; оптические явления, а также основы атомной и ядерной физики. включает в себя лекционные, практические, лабораторные занятия, а также вычислительный практикум в рамках практических занятий.","Курс включает в себя лекционные, практические, лабораторные занятия, а также вычислительный практикум в рамках практических занятий."
8214,"целью дисциплины является формирование у студентов систематизированных знаний в области организации системы управления отходами производства и потребления, включая деятельность по разработке пноолр, изучению и внедрению новых подходов к обращению с отходами.",Цель дисциплины - формирование у студентов систематизированных знаний в области управления отходами производства и потребления.
24427,"при создании программ важно уметь строго доказывать корректность их работы, оценивать скорость ещё на стадии проектирования, а также предотвращать ошибки в крайних случаях. этот курс знакомит слушателей с некоторыми стандартными алгоритмами (сортировки, разделяй-и-властвуй, динамическое программирование) и структурами данных (кучи, хэш-таблицы), на которых можно тренироваться в реализации нетривиальной логики программы. помимо знакомства, студенты учатся разрабатывать новые алгоритмы и доказывать их корректность. в качестве практики потребуется реализовать созданные алгоритмы в виде программы, решающей конкретную задачу, и сдать через автоматическую систему проверки.","Студенты учатся разрабатывать новые алгоритмы, которые решают конкретную задачу, и сдают их через автоматическую систему проверки."
32793,"курс «электричество и магнетизм» является разделом курса общей физики, в котором излагаются систематизированные знания об основных понятиях и законах электромагнетизма. в курсе рассматриваются фундаментальные законы электричества, магнетизма и электродинамики, взаимодействие электрических и магнитных полей с веществом.","В курсе изучаются основные законы электричества, магнетизма и электродинамики."
32795,"курс предназначен для обучающихся по специальности 19.03.01 «биотехнология», содержит основные законы и понятия механики и молекулярной физики. курс призван дать студентам базовые знания в области классической механики, молекулярной физики, электричества и магнетизма.","Курс предназначен для студентов по специальности 19.03.01 ""биотехнология"", содержит основные законы механики, электричества и магнетизма."
16416,в процессе обучения студенты изучают основы полупроводниковой схемотехники и электроники.,Студенты изучают основы полупроводниковой схемотехники и электроники.
24612,"производственная, научно-исследовательская практика реализуется в бакалавриате в течение 3 семестров и является обязательной для прохождения всеми студентами. в ходе исследовательской практики студенты в составе научных групп пробуют свои силы в решении творческих задач",Студенты в составе научных групп пробуют свои силы в решении творческих задач.
16422,"содержание дисциплины охватывает круг вопросов, связанных с основными проблемами взаимодействия природы и общества, защитой окружающей среды, экономией энергетических, сырьевых и других природных ресурсов. а также с развитием экологического мышления, необходимого для осознания роли бакалавра в реализации достижений науки и техники на современном этапе развития человеческого общества, освоением осн","Образование дисциплины связано с вопросами взаимодействия природы и общества, защитой окружающей среды, экономией энергетических, сырьевых и других ресурсов."
32807,"изучение дисциплины реализуется в течении двух семестров.в процессе изучения дисциплины во 2-м семестре студенты знакомятся  с основами низкоуровневого программирования для эвм и систем, с подсистемами ввода-вывода, изучают  основы организации эвм и передачи данных, организацию в базовой эвм программно-управляемого обмена данными в режиме прерывания программы. при выполнении лабораторных работ студенты будут разрабатывать комплексы программ и составлять методику проверки правильности выполнения разработанного комплекса программ на бэвм.",Студенты изучают основы низкоуровневого программирования для эвм и систем.
24623,"цель курса – формирование представлений о термодинамике экологических систем, регуляции экологических процессов, а также приобретение навыков владения современными методами исследований тепловых свойств природных объектов.","Цель курса - формирование представлений о термодинамике экологических систем, а также приобретение навыков владения современными методами исследования тепловых свойств природных объектов."
