,text,date,likes
0,"От твоих решений зависит все! 🔥 Например, какие результаты у тебя получатся в нашей новой игре-симуляторе первого дня стажера в Axenix.

Выбирай персонажа, который тебе нравится, и выстраивай свой первый рабочий день так, как тебе хочется. Только помни, что каждое твое решение влияет на развитие событий, а кроме таких важных показателей, как «карьера» или «коммуникабельность», есть еще очень полезный — «забота о себе» 🤗

Как прошел твой первый рабочий день в Axenix? Поделись своим результатом https://fut.ru/_Axenix1Day

#ништяки@futuretoday #Axenix #FutureToday",1675098002,17
1,"Школьные годы запомнились тебе скучными учебниками с неактуальной информацией? Их время давно прошло! Пора читать реально полезные пособия, которые помогут построить классную карьеру 📚 
 
Книги из нашей подборки — must have для всех, кто хочет работать в экономической, финансовой или управленческой сфере. Обязательно заглядывай в подборку и пополняй свою электронную библиотеку, ведь партнеры Bellerage плохого не посоветуют 😉 
 
Обновил теоретическую базу и готов пользоваться ей в решении реальных задач? Тогда бегом подавать заявку на стажировку в Bellerage! — https://fut.ru/bellerage_23 🏃🏻‍♂ 
 
#ништяки@futuretoday #Bellerage #FutureToday",1678006800,42
2,"There’s a starman waiting in the sky! 🌠 А Kept ждет твою заявку на Foundation for Graduates — бесплатную образовательную программу для студентов старших курсов и недавних выпускников московских вузов. 
 
📅 С 13 марта по 12 апреля ты будешь: 
 
— посещать курсы лекций по МСФО, основам аудита и Excel 
 
— проходить тренинги по английскому и развитию soft skills 
 
— приходить в офис Kept на часть занятий — сможешь лично познакомиться со спикерами и участниками 
 
— выполнять практические задания по разбору кейсов. 
 
🌟 Кого ждут: 
 
— студентов московских вузов экономических, финансовых и бизнес-направлений, обучающихся на 3-4 курсах бакалавриата или в магистратуре 
 
— выпускников 2022 года. 
 
Читай подробнее о требованиях здесь и успевай подать заявку (количество мест ограничено) — https://fut.ru/foundationforgraduates
 
P.S.: Если ты уже был участником других образовательных программ Kept, компания не сможет пригласить тебя снова, но будет рада видеть в числе кандидатов на вакансии! 
 
#ивенты@futuretoday #Kept #FutureToday",1677942002,6
3,"Все еще просишь Вселенную о крутой стажировке в финтех-компании? Ни слова больше! Ведь мы уже нашли для тебя подходящий вариант 💫 
 
МТС Финтех — это гораздо больше, чем банк. Компания создает финансовые продукты и сервисы на стыке банкинга и телекома, которыми пользуются тысячи людей. А чем еще знаменит МТС Финтех и какие возможности он предоставляет своим сотрудникам — узнаешь из наших карточек-резюме! 👩🏼‍💻 
 
Ну а если ты хочешь развивать финансовые сервисы нового поколения вместе с крутой командой, оставляй заявку на стажировку по ссылке — https://fut.ru/mts_fintech_23 🤳🏻 
 
#резюме_компании@futuretoday #МТСФинтех #FutureToday",1677934801,6
4,"Помнишь строчку из песни Тимы Белорусских «Ты моя Омега, я твой Альфа»? А что, если эта фраза была посвящена одному из крупнейших частных банков России — Альфа-Банку 🤩 
 
Мы решили поделиться с тобой важными фактами из истории компании, которая уже более 30 лет существует на рынке. Именно её выбирают многие молодые специалисты для старта карьеры, а большинство из них потом переходит в штат сотрудников. В 2022 году 80% стажеров продолжили свою карьеру в Альфа-Банке. Кстати, количество направлений стажировки ежегодно растет, за два года оно увеличилось вдвое! 
 
Подать заявку на программу ты сможешь этой весной, будем ждать тебя на https://fut.ru/alfa-bank_programs ❤ 
 
#инфографика@futuretoday #АльфаБанк #FutureToday",1677927600,5
5,"Что ты знаешь о бриллиантах? Они красивые, сверкающие, а еще о них сложена не одна легенда, снят не один фильм и спета не одна песня 😅💍 
 
Сегодня предлагаем тебе пополнить свою копилку знаний об этих драгоценных камнях и заглянуть в нашу подборку терминов, где мы объяснили сложные понятия из сферы алмазного творчества простым языком 💎 
 
Теперь ты знаешь о бриллиантах немного больше! А если тебя давно тянет в алмазодобывающую отрасль, отправляй заявку на стажировку в АЛРОСА — fut.ru/alrosa_internship_23 😉 
 
#термины@futuretoday #АЛРОСА #FutureToday",1677920401,6
6,"Как попасть на стажировку в дружный коллектив и начать развиваться в новом для тебя направлении? 👀 Ответы найдешь ниже! 
 
Пообщались с Екатериной, которая сейчас проходит стажировку в Tele2 и занимается развитием бренда, и выяснили, как попасть в современную и динамичную компанию 💥
 
Если ты тоже заинтересован в построении классной карьеры и хочешь начать со стажировки в крупной организации, — welcome aboard! Следи за новостями — https://fut.ru/tele2_interns 
 
#интервью@futuretoday #Tele2 #FutureToday",1677913201,11
7,"📌 Если SMM, ивенты и СМИ ‒ это твоё, то смело откликайся на эту вакансию! 
 
МЕДИА1 ищет PR-специалиста в свою команду! 🤩 
 
Чем входит в обязанности?
‒ взаимодействие со СМИ, онлайн-медиа и профессиональными ассоциациями
‒ составление контент-плана, SMM, копирайтинг
‒ участие в формировании календаря мероприятий (конференции, выставки, вебинары, митапы)
‒ контроль решения операционных задач: печать POS-материалов, контроль оборудования, документооборот. 
 
Идеальный кандидат:
‒ студент 4-5 курса, имеет опыт стажировки или работы от 1 года
‒ понимает работу и знает современные каналы коммуникации
‒ имеет опыт подготовки шаблонов и верстки презентаций
‒ имеет грамотную устную и письменную речь. 
 
✅ Откликнуться на вакансию можно здесь: https://fut.ru/media_job
 
📌 МЕДИА1 также в поисках ассистента в отдел маркетинга телеканала «Солнце» ☀ 
 
Что по задачам?
‒ сбор данных для отчета по деятельности отдела, подготовка презентаций 
‒ заказ сувенирной продукции 
‒ ведение графиков проектов, таймингов 
‒ административные и хозяйственные вопросы 
‒ взаимодействие с печатными СМИ, радиостанциями и интернет-порталами, а также иными партнёрами. 
 
✅ Подать заявку можно тут: https://fut.ru/media_job 
 
📌 А компания МЕТРО подготовила две вакансии для тех, кто живет в Москве! 

Ассистент финансового отдела 🙎‍♂
 
Тебе предстоит:
‒ работать с электронными документами и базами данных
‒ архивировать документы
‒ заниматься корреспонденцией
‒ формировать первичные документы и выписки из книг продаж для контрагентов. 
 
Идеальный кандидат:
‒ живет и готов работать в Москве
‒ имеет полное высшее или неоконченное финансово-экономическое образование
‒ знает основы бухгалтерского и налогового учётов
‒ уверенно владеет MS Office.
Знание английского языка на уровне Intermediate будет твоим преимуществом! 
 
✅ Откликнуться на вакансию можно здесь: https://fut.ru/metro_finance
 
Аналитик 👨‍💻
 
Что входит в задачи? 
‒ поддержка процесса загрузки цен в систему: подготовка, обработка и трансформация данных, повышение автоматизации текущего процесса (SQL+VBA) 
‒ развитие существующих ценовых инструментов, аналитика и разработка новых 
‒ автоматизация и повышение эффективности текущих задач и бизнес-процессов 
‒ поиск инсайтов в данных и их трансформация в выводы и предложения для принятия решений 
‒ участие в оценке бизнес-кейсов и проектов дивизиона. 
 
Ты подходишь, если: 
‒ имеешь высшее образование (экономика/математика/статистика/computer science) 
‒ профессионально работаешь в Excel 
‒ внимателен к деталям и не теряешься в большом объеме данных 
‒ знаешь английский язык и можешь вести переписку на нем. 
Твоим преимуществом будет знание SQL, VBA и/или Python, а также опыт участия в звонках с большим количеством англоговорящих участников! 
 
✅ Подать заявку можно тут: https://fut.ru/metro_analitik
 
📌 Еще одна вакансия для аналитиков, но уже в фармацевтической компании «ВЕРТЕКС»! 
 
Системный аналитик 👨‍💻
 
Чем предстоит заниматься?
‒ описывать бизнес-процессы, подлежащие последующей автоматизации
‒ ставить задачи разработчикам и принимать результаты
‒ интервьюировать пользователей, выявлять их потребности
‒ формировать задания на разработку новых программных решений и дорабатывать существующие описания
‒ разрабатывать инструкции и методические материалы по использованию и эксплуатации программных решений и информационных систем
‒ технически поддерживать и проводить внутреннее обучение пользователей. 
 
Идеальный кандидат:
‒ имеет опыт описания бизнес-процессов для последующей автоматизации
‒ умеет искать, анализировать и структурировать данные
‒ любит программирование и интересуется новыми технологиями.
Твоим преимуществом будет навык работы с инструментами моделирования процессов и инструментами прототипирования пользовательских интерфейсов! 
 
✅ Откликнуться на вакансию можно здесь: https://fut.ru/vertex_analitik",1677859202,10
8,"Ты же не думаешь, что ритейл — это всегда только подработка, да? Любой труд важен и нужен, но ритейл — это многогранная сфера, в которой люди строят успешную карьеру и круто зарабатывают! 😉 
 
Вместе с «Магнитом» развеиваем мифы о карьере в ритейле и доказываем, что работать там — престижно и круто. Читай, а потом приходи проверить на практике: «Магнит» дает тебе возможность стать частью продуктовой команды и создать новую продуктовую марку — https://fut.ru/project-magnit 😎",1677848404,13
9,"Когда креативность на исходе, а фантазия подводит, нужно сделать глубокий вдох, потом выдохнуть, а потом — прочитать наш пост 💜 
 
Сегодня коллеги из Kept делятся с тобой четырьмя нестандартными способами разбудить воображение и придумать прорывную идею. Кстати, вот еще одна хорошая: когда нужна работа, можно попробовать откликнуться на стажировку в консалтинге — https://fut.ru/keptcons 😉 
 
#лайфхак@futuretoday #Kept #FutureToday",1677834001,27
10,"Каждый экономист — это своего рода психолог, ведь большинство рыночных процессов напрямую связано с образом действий человека. Как раз стратегию поведения людей при принятии экономических решений изучает поведенческая экономика. Предлагаем познакомиться с ней поближе 🤓 
 
Профессора и выпускники РЭШ поделились с нами их фаворитами среди книг о поведенческой экономике. Любая из них способна перевернуть твое представление о том, как мы принимаем решения в повседневной жизни 🤯 
 
Сохраняй понравившиеся книги в свою персональную подборку и знакомься с направлениями обучения в РЭШ по ссылке — https://fut.ru/nes_economy_programs 👩🏻‍🎓 
 
#ништяки@futuretoday #РЭШ #FutureToday",1677826803,21
11,"В январе мы огласили итоги нашего ежегодного исследования карьерных предпочтений молодых специалистов. В нем приняли участие более 21 000 студентов с 240 факультетов 65 вузов из 33 городов России! Спасибо всем, кто помог нам составить честный рейтинг 🔥
 
Среди респондентов мы провели розыгрыш — победителем стала Донцова Дарья, студентка факультета Машиностроительных технологий в МГТУ им. Баумана!
 
Недавно мы встретились с Дарьей и вручили ей заветный приз — IPhone 14 PRO 😎 Дарья поделилась с нами своими впечатлениями — смотри видео и обязательно участвуй в исследовании в следующем году.
 
Как знать, может, удача улыбнется именно тебе 😉

#конкурс@futuretoday #FutureToday",1677769203,6
12,"Каково это — попасть на стажировку в «ВЕРТЕКС» и начать выполнять реальные задачи из огромного мира фармацевтики? 🧐
 
Мы пообщались с Валентиной, которая проходила стажировку в отделе науки, и узнали, почему стоит подать заявку на программу «Новое поколение “ВЕРТЕКС”». 
 
Читай полное интервью в карточках и не забудь изучить отделы и условия стажировки подробнее — https://fut.ru/vertex_interns_2023 🙌
 
#интервью@futuretoday #ВЕРТЕКС #FutureToday",1677762004,10
13,"Общение с клиентами — это труд, но даже если вчерашняя встреча была не самой успешной, сегодня все может измениться 😉 
 
SBS Consulting предлагает тебе ознакомиться с книгой — «Спроси маму: как общаться с клиентами и подтвердить правоту своей бизнес-идеи, если все кругом врут?» Роба Фитцпатрика. Речь в ней идет о том, как правильно говорить с клиентами, а тест для мамы — это набор простых правил, которые помогут сформулировать вопросы, в ответ на которые ты точно получишь достоверную информацию 😎 
 
Собрали тезисы и советы из книги на карточках. Если узнал новое — значит, пора откликаться на стажировку в консалтинге — https://fut.ru/sbs-researchteam 👨‍💼 
 
#лайфхак@futuretoday #SBSConsulting #FutureToday",1677747602,27
14,"Что такое, что такое love is? Расскажешь об этом на стажировке в МЕДИА1 🥰 
 
Ты можешь выбрать любое из направлений. Каждое из них позволит тебе получить ценные навыки и опыт работы над реальными проектами в сфере медиа: 
 
— ассистент продюсера МУЗ-ТВ
— технический писатель сайта МУЗ-ТВ
— корреспондент МУЗ-ТВ
— контент-менеджер.
 
В МЕДИА1 ждут именно тебя, если ты: 
 
— являешься студентом 3–5 курсов
— хочешь построить карьеру в медиасфере
— можешь работать в офисе от 20 часов в неделю. 
 
Случилась любовь с первого взгляда и полное совпадение по всем критериям? Тогда беги подавать заявку на стажировку — https://fut.ru/media1_trainees_23 👩‍❤‍👨 
 
#стажировка@futuretoday #МЕДИА1 #FutureToday",1677740402,14
15,"Время добавить в резюме новые навыки! 
 
Уже сегодня на мастер-классе от Актион ты сможешь стать тем самым продвинутым пользователем 1С:Бухгалтерия 8.3.

Вместе с преподавателем-экспертом ты рассмотришь порядок действий по каждой операции, узнаешь типичные ошибки начинающих бухгалтеров и получишь много лайфхаков для работы. 
 
⏰ Когда? 2 марта в 12:00
📍Где? Онлайн 
 
✅ Ссылка для регистрации: https://fut.ru/practicum_1c_action
 
А если ты хочешь знать, как изучают экономику в НИУ ВШЭ и как она помогает выпускникам стать успешными профессионалами, то приходи на карьерный вебинар от факультета экономических наук! 
 
Ты узнаешь всё об экономических моделях: зачем они нужны, какие бывают и как их знание помогает и мешает в аналитической работе.
После участия ты получишь сертификат о прохождении вебинара! 
 
⏰ Когда? 14 марта в 18:00
📍Где? Онлайн ‒ только зарегистрируйся! 
 
✅ Ссылка для регистрации: https://fut.ru/vebinar_hse",1677729601,5
16,"Сложно представить, на что были бы способны команды, состоящие только из проактивных сотрудников 🧐 Кто они, кстати, такие — проактивные люди? 
 
Вместе с Ozon рассказываем, в чем отличие реактивности от проактивности и почему этот навык уверенно стремится к первому месту среди soft skills твоего резюме. 
 
А если ты готов начать прокачку этого скилла уже сейчас, подавай заявку на стажировку в Ozon — https://fut.ru/ozon_interns2023 💡
 
#лайфхак@futuretoday #Ozon #FutureToday",1677668403,13
17,"Хочешь почувствовать себя игроком «Что? Где? Когда?», а заодно узнать больше о «Газстройпроме»? 
 
Попробуй угадать, какое животное мы загадали, и узнаешь, как оно связано с крупнейшей строительной компанией России. Пиши свой ответ в комментариях под постом! 👇
 
Теперь ты стал еще ближе к «Газстройпрому», пора переходить на следующий этап отношений и подавать заявку на стажировку: https://fut.ru/gazstrojprom_interns 💙",1677661202,10
