,0
0,"[(268610645, 74637039), (268610645, 157966604), (268610645, 204936105), (268610645, 255005678), (268610645, 399135166), (268610645, 456602958)]"
1,"[(343275059, 18636010), (343275059, 72211681), (343275059, 98192687), (343275059, 105456331), (343275059, 115665220), (343275059, 163741144)]"
2,"[(24534957, 3861744), (24534957, 5460649), (24534957, 39207131), (24534957, 41624063), (24534957, 42460967), (24534957, 47234772), (24534957, 51635134), (24534957, 57306965), (24534957, 70444406), (24534957, 75525200), (24534957, 80816367), (24534957, 89879306), (24534957, 96839648), (24534957, 97129321), (24534957, 107182213), (24534957, 118141804), (24534957, 124235244), (24534957, 136719449), (24534957, 138398742), (24534957, 138560499), (24534957, 142965567), (24534957, 150562615), (24534957, 172965575), (24534957, 175084806), (24534957, 176838510), (24534957, 183177106), (24534957, 189202068), (24534957, 196783720), (24534957, 205470334), (24534957, 210510883), (24534957, 220159006), (24534957, 227894752), (24534957, 251496278), (24534957, 294048329), (24534957, 357686695), (24534957, 376835718), (24534957, 387582621), (24534957, 431067720), (24534957, 455760637)]"
3,"[(233038258, 1461160), (233038258, 28082154), (233038258, 38531773), (233038258, 62732559), (233038258, 95926763), (233038258, 122289572), (233038258, 128625439), (233038258, 139106107), (233038258, 140656404), (233038258, 146422769), (233038258, 173472532), (233038258, 181422701), (233038258, 200787566), (233038258, 212294157), (233038258, 226818737), (233038258, 263862211), (233038258, 267656807), (233038258, 337427264), (233038258, 421813662), (233038258, 442324227)]"
4,"[(214016190, 183905777), (214016190, 188273682), (214016190, 228482333), (214016190, 257251740), (214016190, 513256458)]"
5,"[(504873983, 13178617), (504873983, 27827569), (504873983, 124094962), (504873983, 153420714), (504873983, 159090057), (504873983, 162895352), (504873983, 558737434), (504873983, 569635086)]"
6,"[(14492163, 8457236), (14492163, 29356951), (14492163, 43218812), (14492163, 43220732), (14492163, 43531909), (14492163, 49021274), (14492163, 58620352), (14492163, 60936976), (14492163, 70770903), (14492163, 84426932), (14492163, 86450970), (14492163, 100972862), (14492163, 117129605), (14492163, 117983599), (14492163, 145514474), (14492163, 159204289), (14492163, 162210244), (14492163, 169071233), (14492163, 218836018), (14492163, 273030724)]"
7,"[(182237171, 49772726), (182237171, 55541216), (182237171, 72424779), (182237171, 72946710), (182237171, 105362133), (182237171, 139368558), (182237171, 150487425), (182237171, 155273171), (182237171, 175095761), (182237171, 181357970), (182237171, 182575686), (182237171, 183069547), (182237171, 186923429), (182237171, 188158908), (182237171, 191474653), (182237171, 197582663), (182237171, 208172737), (182237171, 216016099), (182237171, 221561701), (182237171, 234054797), (182237171, 237464187), (182237171, 243851367), (182237171, 259509112), (182237171, 275636741), (182237171, 293723941), (182237171, 320662746), (182237171, 320910644), (182237171, 354986562), (182237171, 363499728), (182237171, 365818441), (182237171, 370806124), (182237171, 392784267), (182237171, 436203135), (182237171, 482158588), (182237171, 506303316), (182237171, 551009828), (182237171, 565153526)]"
8,"[(30136862, 20126444), (30136862, 21481939), (30136862, 30148054), (30136862, 47480746), (30136862, 53317060)]"
9,"[(3246171, 58615), (3246171, 4133503), (3246171, 5610147), (3246171, 6582640), (3246171, 6803141), (3246171, 7340433), (3246171, 7416495), (3246171, 13529531), (3246171, 16934135), (3246171, 17835302), (3246171, 70719574), (3246171, 121176261), (3246171, 139078553), (3246171, 146846433), (3246171, 154696748), (3246171, 208327583), (3246171, 210027042)]"
