,text,date,likes
0,"Переживаете, что рекрутер завалит вас неожиданными вопросами на собеседовании? Листайте карточки и снизьте уровень тревоги — мы уже подготовили для вас типичные вопросы из интервью на позиции бизнес-, дата- и финансовых аналитиков.

На все 100% подготовьтесь к отбору в компанию и уверенно начните карьеру на комплексной программе «Аналитик PRO». На 7 бизнес-кейсах вы прокачаете все ключевые навыки аналитика, составите сильное резюме, подготовитесь к разным этапам отбора и сможете найти подходящую вакансию в бизнес-, дата- и финансовой аналитике!

Присоединиться со скидкой 50% » https://u.to/Rbv9HA

#education@changellengeglobal #Changellenge #CL_BusinessAnalysis #CL_DataAnalyst #CL_FinanceAnalyst #CL_AnalystPRO",1674756540,20
1,"Сократ научил Платона философии, а вас подготовит к прохождению этапов отбора на стажировки в ВТБ. Карьерный гид Сократ расскажет все об оплачиваемых программах в головном офисе банка. В чат-боте вас ждут тесты, образовательный контент, истории успеха и призы.

Вот что еще предлагает чат-бот:
— Знакомство с банком. Узнаете про направления бизнеса и карьерного развития. 
— Советы по этапам отбора. Научитесь составлять резюме, проходить телефонное интервью или центр оценки.
— Крутые призы. Поучаствуете в интерактивах от Сократа, чтобы заработать баллы и обменять их на подарки от ВТБ. 

Познавайте философию своего профессионального старта в ВТБ — нажимайте на /start в чат-боте: https://clck.ru/33gAL3

#career@changellengeglobal #ВТБ #Changellenge",1677938880,2
2,"По прогнозам экспертов, зарплаты IT-специалистов в 2023 году вырастут на 15–20%. Но на позициях с таким окладом вузовских знаний не хватит. Стать профессионалом поможет оплачиваемая программа UniCredit IT Academy, где за девять месяцев вы сможете получить должность в Chief Data Office ЮниКредит Банка. Чтобы пройти отбор, достаточно разбираться в SQL на базовом уровне и понимать английский. Вот что дает Академия:

— Два карьерных трека на выбор: аналитик или разработчик хранилища данных.
— Работа с реальными бизнес-задачами и поддержка экспертов крупного банка.
— Возможность получить оффер и остаться в штате после программы.
— Актуальные hard skills: освоите SQL на продвинутом уровне, инструменты SAS, технологии open source и теорию DWH.
— Развитые soft skills: прокачаете навыки нетворкинга, личной эффективности и целеполагания. 

Успейте зарегистрироваться до 19 марта, места на программе быстро заканчиваются: https://clck.ru/33g4by

#career@changellengeglobal #Changellenge #Юникредит_Банк",1677931560,5
3,"🚀 Советы для получения оффера в команду после стажировки »
Рассказываем, какие шаги рекомендуем сделать, чтобы, чтобы стать штатным сотрудником компании.

Попасть на стажировку в компании уровня Яндекс, Сбер, OZON, SBS Consulting и получить оффер поможет Школа Changellenge »: https://clck.ru/33ffe7

#education@changellengeglobal #Changellenge #CLSchool",1677859680,4
4,"Получите крутую стажировку — забирайте чек-лист по карьере в 2023 году. 

В каком направлении развивать карьеру и как пройти отбор на стажировку? Актуальную информацию о возможностях студента в 2023 году собрали в бесплатном чек-листе от Школы Changellenge ». Начните карьеру уверенно!

Из чек-листа вы узнаете:
🔹 с чего начать карьеру молодым специалистам;
🔹 какие возможности есть для студентов в 2023; 
🔹 как пройти основные этапы отбора в корпорации;
🔹 как подготовиться к скринингу резюме в компаниях уровня Яндекса, Сбера, Ozon, SBS Consulting и других.

🚀 Забрать бесплатный чек-лист: https://clck.ru/33g5aD

#education@changellengeglobal #Changellenge #CLSchool",1677854390,6
5,"Хотите узнать, как ученые проводят сложные эксперименты, не выходя из-за рабочего стола, и какие керамические детали применяют в авиастроении, биомедицине и промышленной электронике? Присоединяйтесь к лекции Сколтеха. 

15 марта в 16:00 (GMT+5) пройдет встреча «Цифровая революция: компьютерное моделирование и 3D-технологии». 
Ученые Сколтеха Олег Васильев и Святослав Чугунов расскажут:

— какие новые возможности открыло компьютерное моделирование для ученых;
— почему за аддитивным производством керамики будущее;
— что Сколтех изобрел в области 3D-печати. 

А еще спикеры помогут разобраться, какую выбрать сферу обучения, чтобы работать с технологиями обработки материалов, представят программы Сколтеха и поделятся, как на них поступить и получить стипендию от 40 тысяч рублей. 

Мероприятие пройдет в онлайн- и офлайн-формате, поэтому принять участие может каждый. Если готовы посетить лекцию в Уфе, то регистрируйтесь по этой ссылке: https://clck.ru/33bpSa. А тем, кто будет слушать спикеров из дома, нужно перейти сюда: https://clck.ru/33bq3t

#event@changellengeglobal #Changellenge #Skoltech #Сколтех",1677845040,0
6,"Вы студент, которому нужно больше практики в IT? Или начинающий специалист в поисках новых перспектив? Тогда TechAdmin Bootcamp — то, что вам нужно. 

Это онлайн-курс, который погрузит в сферу IT. Вы узнаете о специальности технической поддержки, изучите основы сетевого взаимодействия и подготовитесь устранять неисправности Win10. А еще — научитесь общаться с клиентами и решать конфликты на работе. 

Тех, кто успешно пройдет курс и отбор, ждет оффер в один из системообразующих банков России. А это значит — быстрый старт карьеры в IT, современная корпоративная культура, поддерживающая команда, беспрерывное обучение и прозрачная система зарплаты. 

Готовы прокачаться за 11 занятий и стать профи в техподдержке? Регистрируйтесь: https://clck.ru/33ecPU

Обязательно поделитесь ссылкой на курс с друзьями: https://clck.ru/33fC6S — у TechAdmin Bootcamp есть реферальная программа. Если ваш друг укажет вашу почту при регистрации и получит оффер на стажировку, мы пришлем вам сертификат на 1000₽ от Ozon.",1677837916,2
7,"В каждой профессии есть плюсы и минусы. Лучше познакомиться с ними до выбора специальности. Мы привели примеры достоинств и недостатков направлений аналитики, чтобы вам было проще выбрать свое. 
 
 Проверьте, какой вид аналитики больше подходит вам на практике! Приходите на программу «Аналитик PRO», чтобы освоить полный скиллсет для работы в трех направлениях аналитики — бизнесе, данных и финансах! На курсе вы подготовитесь к поиску работы в новой профессии и получите навыки для повышения: выполните 20+ проектов в качестве аналитика, подготовитесь ко всем этапам отбора с HR и получите приоритет при трудоустройстве в Kept (ex-KPMG), ДРТ (ex-Deloitte), SBS Consulting, Arthur Consulting и Ozon. Присоединяйтесь, ранний старт уже сегодня:
 https://u.to/C3kWHg
 
 #education@changellengeglobal #Changellenge #CL_BusinessAnalysis #CL_DataAnalyst #CL_FinanceAnalyst #CL_AnalystPRO",1677837660,7
8,"#event@changellengeglobal #Changellenge #Skoltech #Сколтех

Через несколько минут начнется прямая трансляция лекции Сколтеха ""Что станет с электричеством: энергия нового поколения"" из Нижнего Новогорода.

Ученые расскажут, как связаны искусственный интеллект и энергопотребление, когда мы перейдем к электросетям нового поколения и как поступить в магистратуру Сколтеха. 

Присоединяйтесь!",1677768376,6
9,"Имеете большие амбиции и мечтаете о покорении высоких вершин? Мы приготовили испытание, которое вам понравится. Сейчас поясним, о чем речь.

— Гора есть: мы открываем регистрацию на Changellenge » Cup Russia 2023.
— Возможности для самореализации: чтобы забраться на самый пик, придется показать все свои способности и решить несколько бизнес-задач.
— Выдадим экипировку: после регистрации откроем доступ к учебнику по решению кейсов и другим материалам, которые прокачают ваши скиллы. Участвовать можно даже с минимальной подготовкой.
— Лучшие проводники, уже дошедшие до своих вершин: оценивать работы будут сотрудники компаний-партнеров, таких как Альфа-Банк, P&G, ВТБ, Excellence Expert, LAB Industries (ex-Henkel), Газпромбанк, S+Консалтинг и CMWP. Эксперты Changellenge » на каждом этапе подскажут, как улучшить ваше решение.
— Наградим по итогам испытания: каждому участнику на всех этапах дадим диплом, который можно вложить в портфолио.

После нашего путешествия с вами останется еще кое-что: навыки в менеджменте, маркетинге и аналитике, структурное мышление, умение работать в команде и презентовать идеи. 

Уже стало интересно? Тогда бегите на перевалочный пункт и регистрируйтесь: https://clck.ru/33eaiQ 

#event@changellengeglobal #Changellenge #CupRussia",1677600125,22
